,ea_id,com_roadtype,com_vehicles,com_bus,com_urbancenter,com_dailymrkt,com_weeklymrkt,com_postoffice,com_publicphone,com_distprimary,com_classrooms,com_schoolelec,com_medicines,com_clinic,com_distclinic,com_bank
93,10420001,TAR/ASPHALT,YES,Yes,No,Yes,Yes,Yes,YES,5 and above kilometers,No,Yes,Yes,Yes,,Yes
94,10420035,TAR/ASPHALT,YES,Yes,Yes,No,No,No,YES,Under 2 kilometers,Yes,Yes,Yes,Yes,,Yes
95,10420080,TAR/ASPHALT,YES,Yes,No,Yes,Yes,Yes,YES,Under 2 kilometers,No,Yes,Yes,Yes,,Yes
96,10501055,GRADED GRAVELED,YES,Yes,No,Yes,No,No,NO,5 and above kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
97,10501216,GRADED GRAVELED,NO,Yes,No,No,Yes,No,NO,Under 2 kilometers,Yes,No,No,No,0 to 5 kilometes,No
98,10501505,GRADED GRAVELED,YES,No,No,No,Yes,No,NO,Under 2 kilometers,Yes,Yes,Yes,Yes,,No
99,10501709,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,In the community,No,No,Yes,No,6 to 10 kilometers,No
100,10502043,GRADED GRAVELED,YES,Yes,No,No,No,No,NO,Under 2 kilometers,Yes,No,Yes,No,26 to 30 kilometers,No
101,10502268,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,5 and above kilometers,No,No,Yes,No,11 to 15 kilometers,No
102,10502439,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,0 to 5 kilometes,No
103,10502593,GRADED GRAVELED,YES,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,6 to 10 kilometers,No
104,10502730,DIRT TRACK,NO,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,Yes,No,16 to 20 kilometers,No
105,10503211,GRADED GRAVELED,NO,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,0 to 5 kilometes,No
106,10503367,DIRT TRACK,YES,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,6 to 10 kilometers,No
107,10505136,DIRT ROAD (MAINTAINED),YES,Yes,No,No,No,No,NO,5 and above kilometers,No,No,Yes,No,0 to 5 kilometes,No
108,10505151,GRADED GRAVELED,NO,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,Yes,No,26 to 30 kilometers,No
109,10505231,DIRT ROAD (MAINTAINED),YES,Yes,No,Yes,Yes,No,YES,3 to 5 kilometers,Yes,No,Yes,Yes,,No
110,10505310,DIRT TRACK,YES,No,No,No,No,No,NO,5 and above kilometers,No,No,Yes,No,11 to 15 kilometers,No
111,10505508,GRADED GRAVELED,YES,Yes,No,No,Yes,No,NO,5 and above kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
112,10506127,GRADED GRAVELED,YES,Yes,No,Yes,Yes,Yes,YES,Under 2 kilometers,Yes,Yes,Yes,Yes,,Yes
113,10506548,GRADED GRAVELED,YES,Yes,No,No,Yes,No,NO,Under 2 kilometers,Yes,No,Yes,No,Above 30 kilometers,No
114,10507175,GRADED GRAVELED,NO,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,11 to 15 kilometers,No
115,10507344,DIRT ROAD (MAINTAINED),YES,Yes,No,No,Yes,No,NO,3 to 5 kilometers,Yes,No,Yes,No,6 to 10 kilometers,No
116,10508369,TAR/ASPHALT,YES,No,No,No,No,No,NO,5 and above kilometers,Yes,No,Yes,No,6 to 10 kilometers,No
117,10509319,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,In the community,Yes,No,No,No,6 to 10 kilometers,No
118,10509474,GRADED GRAVELED,NO,Yes,No,Yes,Yes,No,YES,Under 2 kilometers,Yes,No,Yes,Yes,,No
119,10510388,DIRT ROAD (MAINTAINED),YES,Yes,No,No,No,No,NO,5 and above kilometers,Yes,No,Yes,Yes,,No
120,10732047,GRADED GRAVELED,YES,Yes,No,Yes,No,No,NO,3 to 5 kilometers,Yes,No,Yes,No,6 to 10 kilometers,No
121,10732070,GRADED GRAVELED,YES,No,No,No,No,No,NO,Under 2 kilometers,Yes,Yes,Yes,No,0 to 5 kilometes,No
122,10732192,TAR/ASPHALT,YES,Yes,Yes,No,No,No,NO,Under 2 kilometers,No,No,No,No,0 to 5 kilometes,No
123,10733465,GRADED GRAVELED,YES,Yes,No,Yes,No,No,YES,Under 2 kilometers,Yes,Yes,Yes,No,0 to 5 kilometes,No
